year,month,day,extended,state,city,attack_type,target_type,nationality,weapon_type
225,2008,Jan,Wed,0,Rivers,Sand fill,Bombing/Explosion,Government (General),Nigeria,Explosives
226,2008,Jan,Wed,0,Rivers,Port Harcourt,Armed Assault,Maritime,Unknown,Firearms
227,2008,Jan,Wed,1,Rivers,Port Harcourt,Hostage Taking (Kidnapping),Police,Nigeria,Firearms
228,2008,Jan,Mon,1,Unknown,Unknown,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Unknown
229,2008,Feb,Sun,1,Rivers,Port Harcourt,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Firearms
230,2008,Mar,Sat,0,Rivers,Port Harcourt,Bombing/Explosion,Military,Nigeria,Explosives
231,2008,Aug,Mon,0,Delta,Asaba,Unarmed Assault,Government (General),Nigeria,Melee
232,2008,Apr,Wed,0,Delta,Warri North district,Armed Assault,Business,United States,Firearms
233,2008,Apr,Sun,0,Rivers,Unknown,Bombing/Explosion,Utilities,Netherlands,Explosives
234,2008,Apr,Sat,0,Bayelsa,Unknown,Bombing/Explosion,Utilities,Nigeria,Explosives
235,2008,Jul,Sat,1,Imo,Owerri,Hostage Taking (Kidnapping),Government (General),Asian,Unknown
236,2008,Sep,Fri,1,Rivers,Port Harcourt,Hostage Taking (Kidnapping),Educational Institution,Asian,Firearms
237,2008,May,Tue,0,Unknown,Unknown,Hijacking,Maritime,United States,Firearms
238,2008,May,Fri,1,Rivers,Port Harcourt,Hostage Taking (Kidnapping),Business,Nigeria,Firearms
239,2008,May,Sun,1,Rivers,Ubima,Hostage Taking (Kidnapping),Business,Syria,Firearms
240,2008,May,Thu,0,Rivers,Port Harcourt,Armed Assault,Utilities,Nigeria,Firearms
241,2008,May,Thu,0,Rivers,Okrika,Armed Assault,Private Citizens & Property,Afghanistan,Firearms
242,2008,May,Mon,0,Rivers,Awoba,Bombing/Explosion,Business,Asian,Explosives
243,2008,May,Sat,0,Delta,Warri,Unknown,Private Citizens & Property,Nigeria,Unknown
244,2008,Apr,Sun,1,Abia,Aba,Hostage Taking (Kidnapping),Government (General),Nigeria,Firearms
245,2008,Sep,Sat,0,Unknown,Unknown,Armed Assault,Maritime,Nigeria,Firearms
246,2008,Oct,Mon,0,Unknown,Unknown,Armed Assault,Maritime,Nigeria,Firearms
247,2008,Dec,Sat,0,Rivers,Opobo,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Firearms
248,2008,Jun,Sat,0,Rivers,Bonny,Facility/Infrastructure Attack,Private Citizens & Property,Nigeria,Firearms
